"S1","S2","S3","S4","S5","S6","S7"
302.5,145,5.85,42.4,127.5,64.5,129.5
293,143.5,5.95,42.4,125.5,63,128
292,140,6.05,42.8,135,62.5,127.5
295,144.5,6,43.1,137,64,127
305.5,140,6.2,43.9,140,63.5,127.5
309.5,143.5,6.1,43,136,63,128.5
313,144.5,6,45.8,133,60.5,128.5
321.5,149.5,6.2,45.8,137.5,60.5,132
312,152.5,7.25,46.6,137.5,61,132.5
324,153.5,7.45,46.2,138,60.5,125.5
328.5,149.5,7.8,48.3,134,59,125
338.5,153,7.9,48.2,136.5,58,126
333,154,7.9,47.3,137,59,129
326,152.5,7.6,47.4,137.5,59,126.5
320,149.5,7.15,47.2,133.5,58,124.5
320.5,150.5,7.45,46.9,134,57,126
325.5,151.5,7.6,46.8,137,58,128.5
331,153,7.8,46.3,140,60.5,130.5
337,151.5,7.7,46.1,138,60,129
341.5,148.5,7.9,45.8,141,60.5,129
346.5,146.5,8.1,45.7,140,60.5,128
331.5,142,7.65,45.4,133.5,60.5,127
324.5,144,7.3,44.9,131,61.5,126.5
315.5,141.5,7.3,44.2,127.5,62.5,123.5
321,144,7.45,44.4,132,63,124.5
315.5,145.5,7.55,44.1,130,62.5,128.5
318,146,7.45,44,129,62.5,125.5
320.5,145,7.6,44.6,129.5,63,126.5
323.5,148,7.9,44.6,137,62.5,128
318,148,8,45,139.5,62.5,128
321.5,152.5,8.2,45.2,142.5,62,129
321,152.5,7.8,45.3,140.5,61.5,128
325.5,151.5,7.95,45.4,139.5,60.5,127.5
330,150,7.75,45.5,136,61,129
350,151,8.35,46.3,140.5,59.5,130.5
344.5,150.5,8.75,45.9,136.5,59,128
345.5,152,8.95,46.8,137,60.5,129
344,157.5,9.15,46.2,134.5,61,128
338.5,154.5,8.7,45.8,131,60.5,127
342,155,8.6,46.7,133.5,60,128
346.5,157,8.85,48.1,135,61.5,129.5
353.5,157,9,49.1,136.5,61,130
341,155.5,8.85,49.2,138,60,129.5
333,151,8.65,49.9,134.5,60.5,128
